,calls
2017-11-12 00:00:00,61
2017-11-12 01:00:00,54
2017-11-12 02:00:00,59
2017-11-12 03:00:00,53
2017-11-12 04:00:00,70
2017-11-12 05:00:00,69
2017-11-12 06:00:00,62
2017-11-12 07:00:00,53
2017-11-12 08:00:00,60
2017-11-12 09:00:00,42
2017-11-12 10:00:00,48
2017-11-12 11:00:00,58
2017-11-12 12:00:00,62
2017-11-12 13:00:00,77
2017-11-12 14:00:00,65
2017-11-12 15:00:00,33
2017-11-12 16:00:00,36
2017-11-12 17:00:00,6
2017-11-12 18:00:00,16
2017-11-12 19:00:00,64
2017-11-12 20:00:00,63
2017-11-12 21:00:00,60
2017-11-12 22:00:00,62
2017-11-12 23:00:00,8
2017-11-13 00:00:00,66
2017-11-13 01:00:00,61
2017-11-13 02:00:00,39
2017-11-13 03:00:00,41
2017-11-13 04:00:00,42
2017-11-13 05:00:00,47
2017-11-13 06:00:00,70
2017-11-13 07:00:00,75
2017-11-13 08:00:00,74
2017-11-13 09:00:00,83
2017-11-13 10:00:00,71
2017-11-13 11:00:00,71
2017-11-13 12:00:00,76
2017-11-13 13:00:00,73
2017-11-13 14:00:00,70
2017-11-13 15:00:00,48
2017-11-13 16:00:00,39
2017-11-13 17:00:00,8
2017-11-13 18:00:00,11
2017-11-13 19:00:00,21
2017-11-13 20:00:00,43
2017-11-13 21:00:00,49
2017-11-13 22:00:00,63
2017-11-13 23:00:00,10
2017-11-14 00:00:00,53
2017-11-14 01:00:00,58
2017-11-14 02:00:00,75
2017-11-14 03:00:00,67
2017-11-14 04:00:00,63
2017-11-14 05:00:00,67
2017-11-14 06:00:00,78
2017-11-14 07:00:00,78
2017-11-14 08:00:00,91
2017-11-14 09:00:00,86
2017-11-14 10:00:00,83
2017-11-14 11:00:00,84
2017-11-14 12:00:00,79
2017-11-14 13:00:00,73
2017-11-14 14:00:00,55
2017-11-14 15:00:00,54
2017-11-14 16:00:00,67
2017-11-14 17:00:00,64
2017-11-14 18:00:00,59
2017-11-14 19:00:00,87
2017-11-14 20:00:00,50
2017-11-14 21:00:00,47
2017-11-14 22:00:00,63
2017-11-14 23:00:00,10
2017-11-15 00:00:00,66
2017-11-15 01:00:00,73
2017-11-15 02:00:00,82
2017-11-15 03:00:00,83
2017-11-15 04:00:00,84
2017-11-15 05:00:00,79
2017-11-15 06:00:00,74
2017-11-15 07:00:00,65
2017-11-15 08:00:00,73
2017-11-15 09:00:00,82
2017-11-15 10:00:00,82
2017-11-15 11:00:00,57
2017-11-15 12:00:00,51
2017-11-15 13:00:00,37
2017-11-15 14:00:00,57
2017-11-15 15:00:00,56
2017-11-15 16:00:00,43
2017-11-15 17:00:00,28
2017-11-15 18:00:00,15
2017-11-15 19:00:00,54
2017-11-15 20:00:00,43
2017-11-15 21:00:00,52
2017-11-15 22:00:00,48
2017-11-15 23:00:00,3
2017-11-16 00:00:00,47
2017-11-16 01:00:00,53
2017-11-16 02:00:00,60
2017-11-16 03:00:00,69
2017-11-16 04:00:00,74
2017-11-16 05:00:00,81
2017-11-16 06:00:00,79
2017-11-16 07:00:00,68
2017-11-16 08:00:00,50
2017-11-16 09:00:00,59
2017-11-16 10:00:00,75
2017-11-16 11:00:00,73
2017-11-16 12:00:00,55
2017-11-16 13:00:00,53
2017-11-16 14:00:00,39
2017-11-16 15:00:00,19
2017-11-16 16:00:00,69
2017-11-16 17:00:00,17
2017-11-16 18:00:00,26
2017-11-16 19:00:00,47
2017-11-16 20:00:00,38
2017-11-16 21:00:00,37
2017-11-16 22:00:00,51
2017-11-16 23:00:00,9
2017-11-17 00:00:00,71
2017-11-17 01:00:00,77
2017-11-17 02:00:00,76
2017-11-17 03:00:00,60
2017-11-17 04:00:00,70
2017-11-17 05:00:00,75
2017-11-17 06:00:00,63
2017-11-17 07:00:00,65
2017-11-17 08:00:00,71
2017-11-17 09:00:00,73
2017-11-17 10:00:00,76
2017-11-17 11:00:00,64
2017-11-17 12:00:00,72
2017-11-17 13:00:00,69
2017-11-17 14:00:00,74
2017-11-17 15:00:00,57
2017-11-17 16:00:00,41
2017-11-17 17:00:00,53
2017-11-17 18:00:00,65
2017-11-17 19:00:00,77
2017-11-17 20:00:00,57
2017-11-17 21:00:00,39
2017-11-17 22:00:00,62
2017-11-17 23:00:00,7
2017-11-18 00:00:00,42
2017-11-18 01:00:00,60
2017-11-18 02:00:00,63
2017-11-18 03:00:00,76
2017-11-18 04:00:00,72
2017-11-18 05:00:00,39
2017-11-18 06:00:00,33
2017-11-18 07:00:00,44
2017-11-18 08:00:00,67
2017-11-18 09:00:00,65
2017-11-18 10:00:00,52
2017-11-18 11:00:00,42
2017-11-18 12:00:00,64
2017-11-18 13:00:00,66
2017-11-18 14:00:00,54
2017-11-18 15:00:00,44
2017-11-18 16:00:00,45
2017-11-18 17:00:00,61
2017-11-18 18:00:00,11
2017-11-18 19:00:00,37
2017-11-18 20:00:00,36
2017-11-18 21:00:00,64
2017-11-18 22:00:00,64
2017-11-18 23:00:00,7
